Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,leaf-1a,Ethernet47,mlag_peer,leaf-1b,Ethernet47,True
leaf,leaf-1a,Ethernet48,mlag_peer,leaf-1b,Ethernet48,True
leaf,leaf-1a,Ethernet49,l3spine,spine-1,Ethernet3,True
leaf,leaf-1b,Ethernet47,mlag_peer,leaf-1a,Ethernet47,True
leaf,leaf-1b,Ethernet48,mlag_peer,leaf-1a,Ethernet48,True
leaf,leaf-1b,Ethernet49,l3spine,spine-2,Ethernet3,True
leaf,leaf-2a,Ethernet49,l3spine,spine-1,Ethernet4,True
leaf,leaf-2a,Ethernet50,l3spine,spine-2,Ethernet4,True
leaf,leaf-3a,Ethernet47,mlag_peer,leaf-3b,Ethernet47,True
leaf,leaf-3a,Ethernet48,mlag_peer,leaf-3b,Ethernet48,True
leaf,leaf-3a,Ethernet49,l3spine,spine-1,Ethernet5,True
leaf,leaf-3a,Ethernet50,l3spine,spine-2,Ethernet5,True
leaf,leaf-3a,Ethernet51/1,leaf,leaf-3c,Ethernet49,True
leaf,leaf-3a,Ethernet52/1,leaf,leaf-3d,Ethernet49,True
leaf,leaf-3a,Ethernet53/1,leaf,leaf-3e,Ethernet49,True
leaf,leaf-3b,Ethernet47,mlag_peer,leaf-3a,Ethernet47,True
leaf,leaf-3b,Ethernet48,mlag_peer,leaf-3a,Ethernet48,True
leaf,leaf-3b,Ethernet49,l3spine,spine-1,Ethernet6,True
leaf,leaf-3b,Ethernet50,l3spine,spine-2,Ethernet6,True
leaf,leaf-3b,Ethernet51/1,leaf,leaf-3c,Ethernet50,True
leaf,leaf-3b,Ethernet52/1,leaf,leaf-3d,Ethernet50,True
leaf,leaf-3b,Ethernet53/1,leaf,leaf-3e,Ethernet50,True
leaf,leaf-3c,Ethernet49,leaf,leaf-3a,Ethernet51/1,True
leaf,leaf-3c,Ethernet50,leaf,leaf-3b,Ethernet51/1,True
leaf,leaf-3d,Ethernet49,leaf,leaf-3a,Ethernet52/1,True
leaf,leaf-3d,Ethernet50,leaf,leaf-3b,Ethernet52/1,True
leaf,leaf-3e,Ethernet49,leaf,leaf-3a,Ethernet53/1,True
leaf,leaf-3e,Ethernet50,leaf,leaf-3b,Ethernet53/1,True
l3spine,spine-1,Ethernet3,leaf,leaf-1a,Ethernet49,True
l3spine,spine-1,Ethernet4,leaf,leaf-2a,Ethernet49,True
l3spine,spine-1,Ethernet5,leaf,leaf-3a,Ethernet49,True
l3spine,spine-1,Ethernet6,leaf,leaf-3b,Ethernet49,True
l3spine,spine-1,Ethernet49,mlag_peer,spine-2,Ethernet49,True
l3spine,spine-1,Ethernet50,mlag_peer,spine-2,Ethernet50,True
l3spine,spine-2,Ethernet3,leaf,leaf-1b,Ethernet49,True
l3spine,spine-2,Ethernet4,leaf,leaf-2a,Ethernet50,True
l3spine,spine-2,Ethernet5,leaf,leaf-3a,Ethernet50,True
l3spine,spine-2,Ethernet6,leaf,leaf-3b,Ethernet50,True
l3spine,spine-2,Ethernet49,mlag_peer,spine-1,Ethernet49,True
l3spine,spine-2,Ethernet50,mlag_peer,spine-1,Ethernet50,True
